time,playingmode,timeout,timeoutenable,continuity,outputprobability,cut,timestretch,regionmaskenable,regionmasklow,regionmaskhigh
44.247574,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.298599,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.347233,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.397152,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.447227,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.500084,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.549168,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.597969,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.648075,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.696896,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.746861,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.796978,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.846600,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.896976,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.948685,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
44.997150,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.046703,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.097828,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.150990,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.198166,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.247192,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.302376,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.348518,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.396652,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.447659,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.498676,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.546574,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.597263,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.647873,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.698235,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.747166,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.797844,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.850311,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.900658,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.946545,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
45.999020,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.046677,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.101746,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.148975,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
