time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
21.999105,45,0.132348,0.064329,0.216367,1.629175,0.664096,0.860264,0.221424,0.062661,0.052335,2.219547,1.794538,0.509472
22.199413,29,0.266461,0.066615,0.126467,1.064336,1.892821,1.759590,0.059851,0.000000,0.066615,2.644128,2.194538,0.425912
22.598738,37,0.123073,1.593298,0.000000,0.380627,0.862284,0.862028,0.000000,0.000000,0.245123,1.112282,0.929573,0.184848
23.099064,41,0.247832,1.625367,0.000000,0.079630,0.231730,1.765397,0.000000,0.000000,0.250056,0.371899,0.232697,0.000000
23.449213,35,0.120265,0.777116,0.000000,0.061281,0.066502,0.848227,0.245123,0.000000,0.119556,0.066502,0.066502,1.593298
23.798948,35,0.051770,0.308790,0.000000,0.000000,0.000000,0.310622,0.121129,0.000000,0.051465,0.000000,0.000000,0.787341
23.999540,41,0.266461,0.182338,0.066615,0.000000,0.000000,1.731996,0.071526,0.000000,0.000000,0.066615,1.731996,0.429154
24.198551,37,0.174825,1.547068,0.000000,0.000000,0.000000,1.133775,0.000000,0.000000,0.258333,0.000000,1.134062,0.281568
24.399424,46,0.159524,1.020656,1.798611,0.266461,0.000000,0.822694,0.066615,0.000000,1.731996,0.266461,2.102410,0.099758
25.048754,36,1.629175,0.394148,0.436042,0.323316,0.062661,0.157413,1.629175,0.250642,1.649201,0.072674,0.520781,0.000000
26.098734,29,0.359215,0.000000,1.624891,0.000000,0.000000,1.624891,0.226343,0.000000,0.163847,0.312479,0.000000,0.000000
26.148764,31,0.338470,0.000000,1.650060,0.000000,0.000000,1.624952,0.144730,1.527778,0.088478,0.287508,0.000000,0.075000
26.198439,33,0.296671,0.075000,1.351882,0.000000,0.300000,1.462529,0.071667,1.547068,0.071667,1.527778,0.000000,0.064583
26.248560,38,1.527778,0.064583,2.118294,0.000000,0.333333,1.184648,0.133050,1.738889,0.058050,1.717901,0.000000,0.059954
26.401075,49,1.253125,1.865741,1.943079,0.000000,0.246562,0.849007,0.059954,1.153305,0.287037,1.402759,0.000000,0.000000
26.498856,49,0.985287,1.555641,1.637211,2.009259,0.141608,0.582982,0.052106,0.912519,1.962037,1.056212,0.287037,0.000000
26.550724,44,0.886759,1.672554,2.059352,1.676235,0.127447,0.535054,0.069429,0.821267,1.675217,1.040724,0.258333,0.000000
26.599035,38,0.653147,1.219292,1.756931,1.249483,0.092909,0.643159,0.060447,0.551622,1.399722,0.798021,1.527778,0.000000
26.649336,39,0.494392,1.097363,1.827365,1.124535,0.083618,0.595880,0.063869,0.496460,1.259750,0.756084,1.865741,0.000000
26.749063,41,0.611407,0.664596,1.438485,1.549886,1.865741,2.000829,0.051118,0.388789,0.834767,0.604680,1.796142,0.287037
26.798706,45,0.529201,0.613323,1.165173,1.541213,1.898765,1.841417,0.000000,0.275247,0.684652,1.704946,1.560772,0.266461
26.899593,45,0.385787,1.932356,0.849411,1.123544,1.429405,1.339518,0.000000,0.157442,0.587073,1.861151,1.137803,0.194250
26.948837,39,0.347209,1.606824,0.764470,1.959304,1.286465,1.183025,0.000000,0.169823,0.528365,1.671881,1.169886,0.174825
26.999231,40,0.207323,1.400077,0.475297,1.552976,1.536618,0.869302,0.000000,0.130258,0.482913,1.218801,0.878676,0.280905
27.049450,43,0.167932,1.134062,0.718324,1.580976,1.550997,0.618036,0.000000,2.222447,0.396738,0.987229,0.756041,0.333180
27.099762,46,0.136025,0.918591,0.673880,1.280591,1.571830,0.800609,0.000000,1.865741,0.331219,0.799656,1.804697,0.241820
28.651552,54,0.000000,1.749998,0.062500,0.000000,0.000000,0.312500,1.624998,0.000000,0.250000,0.000000,1.687499,0.000000
