time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
11.048164,68,0.064583,2.685418,0.241325,0.929344,1.519992,0.213892,0.258333,1.554942,2.109034,1.547068,0.383354,1.730099
11.098324,68,0.066615,3.355765,0.258062,2.433128,3.237398,0.201022,0.266461,1.677402,2.254802,1.731996,0.563346,2.230057
11.247089,68,0.061958,2.775663,0.249445,1.803474,2.139262,0.380895,0.187583,1.201603,1.995252,1.219292,1.547068,1.556377
11.247089,68,0.061958,2.775663,0.249445,1.803474,2.139262,0.380895,0.187583,1.201603,1.995252,1.219292,1.547068,1.556377
12.249134,107,0.062500,0.293871,0.312490,0.418931,1.750016,0.249997,0.249983,1.624943,1.687498,1.699054,1.624979,1.823789
13.047880,26,0.000000,0.000000,1.625825,0.000000,0.277954,0.000000,0.062532,0.277959,0.277953,0.435417,0.277955,0.277965
14.947826,30,0.250000,0.250000,0.000000,0.000000,0.000000,1.625000,1.625000,0.000000,0.000000,0.062500,0.062500,0.000000
15.897533,81,0.000000,0.562627,0.000000,0.000000,0.250056,0.225142,2.775687,0.000000,0.000000,1.625367,0.125028,0.000000
16.744621,81,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,1.625000,0.000000,0.000000,0.250120,0.062500,0.000000
17.497004,93,0.249810,1.686215,0.000000,0.000000,0.249810,1.686215,0.308837,0.000000,0.249810,1.686215,0.000000,0.000000
18.948069,93,0.250000,0.120630,0.000000,0.000000,0.250000,1.625000,0.000000,0.000000,0.000000,1.687500,0.000000,0.000000
20.598156,57,0.000000,0.062500,0.000000,1.625001,0.250000,0.000000,0.000000,0.062500,0.000000,1.625001,0.250000,0.000000
20.650707,47,0.000000,0.062500,0.000000,1.625001,0.250000,0.000000,0.000000,0.062500,0.000000,1.625001,0.250000,0.000000
20.697058,47,2.009259,0.287037,0.067500,0.881759,1.730278,1.865741,2.152778,0.337662,0.075000,2.185000,1.446759,1.865741
20.797640,70,1.618234,0.239815,0.000000,0.642802,1.879618,1.344250,1.738141,0.239815,0.066615,1.592865,1.244579,1.253125
20.897837,70,1.736236,0.245123,0.000000,0.478297,1.792128,1.645000,1.593298,0.245123,0.064329,1.290221,1.126329,1.969078
